"Timestamp","Which course are you currently enrolled in?","What motivated you to seek a computing class at CCM?","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence]","How did you hear about County College of Morris (check all that apply)?","To what extent did the following impact your decision to attend County College of Morris? [Affordable cost]","To what extent did the following impact your decision to attend County College of Morris? [Location/convenience]","To what extent did the following impact your decision to attend County College of Morris? [Choice of programs]","To what extent did the following impact your decision to attend County College of Morris? [Online offerings]","To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral]","To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff]","To what extent did the following impact your decision to attend County College of Morris? [College reputation]","To what extent did the following impact your decision to attend County College of Morris? [Scholarships]","To what extent did the following impact your decision to attend County College of Morris? [Transfer student]","To what extent did the following impact your decision to attend County College of Morris? [Small class sizes]","To what extent did the following impact your decision to attend County College of Morris? [Extra curricula opportunities]","What degree program are you currently enrolled in?","Did you receive information about our computing course from any of the following sources? [High school guidance counselor]","Did you receive information about our computing course from any of the following sources? [CCM Information Technologies Website]","Did you receive information about our computing course from any of the following sources? [CCM Admissions]","Did you receive information about our computing course from any of the following sources? [CCM advisor/counselor]","Did you receive information about our computing course from any of the following sources? [Employer]","Did you receive information about our computing course from any of the following sources? [Other]","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you taking more courses in Computer Science, Information Technology or Game Development?","If you answered that you were interested in taking more computing classes, which ones interest you most? (check all that apply)","Gender","Race/ethnicity","Age "
"2020/09/10 8:18:04 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;My sister took this class and she really enjoyed it so she recommended and encouraged me to take it!","Yes","No","No","No","No","No","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","High Impact","No Impact","No Impact","Family member or friend","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Early Childhood Education","No","No","No","No","No","No","4","Web Development;App Development","Woman","White/Caucasian","19-20"
"2020/09/10 11:13:37 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site;Social Media;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","No Impact","Musical Theatre","No","No","No","Yes","No","No","2","","Woman","White/Caucasian","18 and younger"
"2020/09/11 2:48:26 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Family member or friend","Some Impact","High Impact","Some Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Nursing","Don't recall","Don't recall","Yes","Yes","No","No","3","","Woman","White/Caucasian","21-24"
"2020/09/11 12:13:44 PM EST","CMP 101 Computer Information Literacy","It was required that I take the class.","No","No","No","No","No","No","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","Some Impact","Some Impact","N/A","Family member or friend;Current student;High School","High Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Humanities Social Sciences","Yes","No","Don't recall","Yes","No","Don't recall","2","","Woman","White/Caucasian","18 and younger"
"2020/09/11 2:17:36 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Billboard;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Liberal Arts","No","No","No","No","No","No","3","CyberSecurity;Data Analytics;Computer Programming","Woman","White/Caucasian","19-20"
"2020/09/11 5:45:10 PM EST","CMP 126 Computer Technology and Applications","Personal Enrichment;Curiosity","No","No","No","No","No","No","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","Some Impact","N/A","N/A","Web site;Billboard;Social Media;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","N/A","N/A","N/A","N/A","High Impact","N/A","N/A","N/A","N/A","Liberal Arts & Sciences","No","No","No","No","No","No","3","Game Design","Man","White/Caucasian","19-20"
"2020/09/12 4:52:43 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Family member or friend","Some Impact","High Impact","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","N/A","No Impact","No Impact","30 College credit program","No","No","Yes","Yes","No","No","3","Web Development;App Development;Computer Programming;Hardware Installation & Repair","Man","White/Caucasian","21-24"
"2020/09/12 5:22:41 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","High Impact","No Impact","No Impact","High School","High Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","Journalism","No","No","No","Don't recall","Don't recall","Don't recall","3","CyberSecurity","Man","White/Caucasian","19-20"
"2020/09/12 6:55:43 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","No","No","Yes","No","No","Some Impact","Some Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend","High Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","High Impact","Some Impact","Child and Family Studies","No","No","Yes","Yes","No","No","2","Computer Programming","","Hispanic or Latino","19-20"
"2020/09/12 8:16:56 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment;Curiosity","No","No","No","No","No","Yes","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","Family member or friend;Current student;Alumni;High School","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Math education ","No","No","No","No","No","No","2","Data Analytics","Woman","White/Caucasian","18 and younger"
"2020/09/13 6:38:40 AM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Personal Enrichment;Curiosity","No","No","No","No","No","No","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","No Impact","No Impact","Some Impact","Some Impact","Web site;Billboard;Family member or friend","High Impact","High Impact","High Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Humanities","No","No","No","Yes","No","No","1","","Man","White/Caucasian","19-20"
"2020/09/13 12:35:58 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Billboard","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Nursing","No","No","No","Yes","Yes","Yes","2","CyberSecurity","Woman","White/Caucasian","21-24"
"2020/09/13 3:13:27 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","No Impact","Web site","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","High Impact","N/A","High Impact","N/A","N/A","Psychology ","No","No","No","No","No","Yes","1","","Woman","White/Caucasian","21-24"
"2020/09/13 6:38:03 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","Not Sure","Not Sure","Not Sure","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Current student","High Impact","High Impact","No Impact","No Impact","High Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Liberal Arts","No","No","Yes","No","No","No","2","","Man","Black/African American","19-20"
"2020/09/13 7:48:18 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","Family member or friend","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","liberal arts/humanitites","No","No","No","No","No","Yes","1","","Woman","White/Caucasian","19-20"
"2020/09/13 7:59:00 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","High School","High Impact","High Impact","No Impact","High Impact","N/A","N/A","Some Impact","N/A","Some Impact","N/A","N/A","Criminal Justice","Don't recall","Don't recall","Don't recall","Yes","Don't recall","Don't recall","2","CyberSecurity","Man","White/Caucasian","25-34"
"2020/09/13 9:46:15 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site;Social Media;Community Event;Family member or friend;Alumni;High School","High Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","Some Impact","No Impact","Exercise Science","No","No","No","Yes","No","No","1","","Man","Hispanic or Latino","19-20"
"2020/09/14 10:26:46 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","Yes","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","High Impact","No Impact","No Impact","Web site;Billboard;Television;Radio;Social Media;Community Event;Family member or friend;Alumni","High Impact","High Impact","Some Impact","No Impact","High Impact","No Impact","High Impact","No Impact","High Impact","No Impact","No Impact","Criminal Justice","No","No","No","No","No","No","2","CyberSecurity","Man","White/Caucasian","19-20"
"2020/09/14 11:21:19 AM EST","CMP 101 Computer Information Literacy","To keep current in computing skills","No","No","Yes","No","No","No","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","No Impact","N/A","N/A","Family member or friend;High School","High Impact","High Impact","High Impact","Some Impact","Some Impact","No Impact","Some Impact","High Impact","High Impact","No Impact","Some Impact","Biology","No","No","Yes","No","No","No","4","Web Development","Woman","White/Caucasian","21-24"
"2020/09/14 10:17:29 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","Some Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Web site","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Criminal Justice","Yes","No","No","No","No","No","4","Computer Programming","Man","Hispanic or Latino","19-20"
"2020/09/15 9:42:37 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Family member or friend;Current student;High School","Some Impact","High Impact","Some Impact","No Impact","High Impact","No Impact","High Impact","Some Impact","High Impact","High Impact","Some Impact","Criminal Justice","No","No","No","No","No","No","1","","Woman","White/Caucasian","19-20"
"2020/09/15 11:11:35 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Career Change;Job Displacement;Personal Enrichment;Curiosity","Yes","No","Not Sure","Not Sure","Not Sure","Yes","High Impact","Some Impact","Some Impact","High Impact","N/A","N/A","N/A","No Impact","Some Impact","High Impact","N/A","Web site;Billboard;Television;Social Media;Family member or friend","High Impact","High Impact","High Impact","N/A","Some Impact","Some Impact","High Impact","No Impact","No Impact","N/A","High Impact","Music Technology","Don't recall","Don't recall","Yes","Yes","No","Don't recall","5","Web Development;App Development;Data Analytics;Computer Programming;Game Design","Man","White/Caucasian","19-20"
"2020/09/15 11:20:44 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","No Impact","N/A","N/A","N/A","N/A","N/A","N/A","No Impact","No Impact","No Impact","No Impact","Family member or friend;Current student;High School","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","Some Impact","N/A","Some Impact","Some Impact","Criminal Justice","No","Don't recall","Don't recall","Don't recall","No","No","2","","Woman","White/Caucasian","19-20"
"2020/09/15 11:22:04 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","High Impact","Some Impact","Family member or friend;High School","Some Impact","Some Impact","No Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Culinary Arts and Science ","No","No","No","No","No","Yes","4","","Woman","White/Caucasian","19-20"
"2020/09/15 11:34:10 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Career Change;Professional Development;Curiosity","No","No","Yes","No","No","Yes","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","Web site;Billboard;Television;Radio;Social Media;Community Event;Family member or friend;Employer;Current student;Alumni;High School","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","No Impact","High Impact","No Impact","No Impact","Criminal Justice","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","2","CyberSecurity;Game Design","Man","White/Caucasian","19-20"
"2020/09/15 12:02:14 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site;Billboard;Television;Family member or friend","Some Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","No Impact","High Impact","High Impact","fashion design  ","No","No","No","Yes","No","No","3","App Development","Woman","Black/African American","25-34"
"2020/09/15 12:26:04 PM EST","CMP 101 Computer Information Literacy","Career Advancement","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","Family member or friend;High School","High Impact","Some Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Not in a degree program","No","No","No","No","No","No","1","","Man","White/Caucasian","21-24"
"2020/09/15 1:43:52 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","High School","High Impact","High Impact","High Impact","No Impact","Some Impact","High Impact","High Impact","No Impact","High Impact","High Impact","No Impact","Criminal Justice","No","No","No","Yes","No","No","1","","Man","White/Caucasian","21-24"
"2020/09/15 1:51:30 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","Yes","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Alumni","High Impact","High Impact","High Impact","No Impact","High Impact","High Impact","No Impact","High Impact","No Impact","High Impact","No Impact","Exercise Science","No","No","No","Yes","No","No","1","Web Development","Woman","White/Caucasian","25-34"
"2020/09/15 2:07:02 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Family member or friend","High Impact","Some Impact","No Impact","Some Impact","Some Impact","Some Impact","High Impact","N/A","N/A","N/A","N/A","Communication","No","No","No","No","No","No","1","","Woman","White/Caucasian","21-24"
"2020/09/15 3:23:47 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","Yes","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Web site;Billboard;Social Media;Family member or friend;Current student;High School","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","Mathematics","No","No","Yes","Yes","No","Don't recall","2","Web Development","Woman","White/Caucasian","19-20"
"2020/09/15 4:05:32 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","High School","High Impact","Some Impact","Some Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","Some Impact","Some Impact","No Impact","Human Services","No","No","No","Yes","No","No","2","","Woman","White/Caucasian","21-24"
"2020/09/15 4:20:03 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","Yes","Not Sure","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;Employer;Current student;Alumni;High School","Some Impact","High Impact","High Impact","Some Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Criminal Justice","No","No","No","Yes","No","No","1","CyberSecurity","Woman","White/Caucasian","18 and younger"
"2020/09/15 8:44:10 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend","High Impact","High Impact","Some Impact","Some Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Early Childhood Education","No","No","No","No","No","No","1","","Woman","White/Caucasian","19-20"
"2020/09/15 9:46:52 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;Personal Enrichment;Curiosity","No","No","No","No","No","No","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","High Impact","Web site;Billboard;Current student;Alumni;High School","High Impact","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","High Impact","High Impact","No Impact","Some Impact","No Impact","Radiography","No","No","No","No","No","No","3","CyberSecurity;App Development;Game Design","Woman","White/Caucasian","21-24"
"2020/09/16 1:11:49 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Technology is so prevalent these days. And i am looking to enter into the nursing and radiography fields. Tech has become a mainstay in both but knowledge working with computers is especially needed in radiography. I feel it is good for me to keep up with the changing world of technology ","No","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Web site;i had attendend ccm years ago right out of high school. I grew up in the area and always knew of the school","No Impact","Some Impact","High Impact","Some Impact","No Impact","High Impact","High Impact","No Impact","High Impact","High Impact","No Impact","Radiography;Nursing","No","No","No","No","No","Yes","4","CyberSecurity;Machine Learning/Artificial Intelligence","Woman","White/Caucasian","35-64"
"2020/09/16 2:45:08 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","Not Sure","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","High Impact","Some Impact","Web site;Billboard;Social Media;Community Event;Family member or friend;High School","High Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","Physical Education ","No","No","Yes","Yes","No","No","1","Game Design","Woman","White/Caucasian","18 and younger"
"2020/09/16 3:45:31 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","Web site;Radio;Community Event;Family member or friend;Employer;Current student;Alumni;High School","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","Public Health","Don't recall","Don't recall","Don't recall","Yes","Don't recall","Don't recall","2","","Woman","White/Caucasian","19-20"
"2020/09/16 4:38:34 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","Some Impact","Family member or friend;Current student;Alumni;High School","High Impact","High Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","High Impact","No Impact","Some Impact","No Impact","Child and Family Studies","No","No","No","Yes","No","No","2","","Woman","Hispanic or Latino","21-24"
"2020/09/16 7:10:19 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","N/A","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Current student","High Impact","High Impact","High Impact","High Impact","N/A","No Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","Exercise Science","No","No","No","Yes","No","No","3","","Woman","White/Caucasian","35-64"
"2020/09/17 5:05:03 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","No","No Impact","N/A","No Impact","N/A","N/A","N/A","No Impact","Some Impact","Some Impact","Some Impact","Some Impact","Family member or friend;Current student;Alumni;High School","High Impact","Some Impact","Some Impact","No Impact","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","High Impact","Some Impact","Exercise Science","No","No","Don't recall","Yes","No","Don't recall","1","","Woman","White/Caucasian","19-20"
"2020/09/17 5:10:06 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","No","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","Some Impact","Some Impact","Community Event;Family member or friend;Current student;Alumni;High School","Some Impact","No Impact","Some Impact","No Impact","High Impact","Some Impact","Some Impact","Some Impact","No Impact","High Impact","Some Impact","Exercise Science","No","No","No","Yes","No","Don't recall","1","","Woman","White/Caucasian","19-20"
"2020/09/17 5:11:59 PM EST","CMP 126 Computer Technology and Applications","Personal Enrichment","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Web site","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Criminal Justice","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","4","CyberSecurity","Man","White/Caucasian","65+"
"2020/09/18 11:03:02 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","Yes","Yes","No","No","Yes","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","Some Impact","N/A","High Impact","Web site;Community Event;Family member or friend;High School","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Criminal Justice","No","No","No","No","No","No","3","CyberSecurity;Computer Programming;Game Design","Man","Hispanic or Latino","19-20"
"2020/09/18 4:15:34 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","Some Impact","N/A","N/A","Web site;Family member or friend;High School","High Impact","High Impact","High Impact","Some Impact","High Impact","N/A","Some Impact","No Impact","High Impact","No Impact","No Impact","Radiography","No","Don't recall","Don't recall","Yes","No","No","3","Computer Programming","Woman","Hispanic or Latino","21-24"
"2020/09/19 7:53:37 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;High School","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","Some Impact","No Impact","Some Impact","No Impact","Culinary arts and science ","No","No","No","No","No","Yes","2","","Woman","White/Caucasian","19-20"
"2020/09/19 10:19:13 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend","No Impact","No Impact","High Impact","Some Impact","No Impact","No Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","Nursing","No","No","No","No","No","No","1","","Woman","White/Caucasian","35-64"
"2020/09/20 9:47:05 AM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","Yes","Yes","Yes","No","No","No","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Web site;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","High Impact","No Impact","High Impact","High Impact","High Impact","Some Impact","No Impact","Some Impact","Some Impact","Broadcasting Arts and Technology","No","Yes","Yes","Yes","No","No","2","","Man","White/Caucasian","21-24"
"2020/09/20 1:41:15 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","Not Sure","Yes","No","No","Yes","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","High School","High Impact","High Impact","High Impact","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","Some Impact","Some Impact","Radiography","Yes","Don't recall","Yes","Yes","No","No","1","Game Design","Woman","Multi-Racial","19-20"
